name,artist,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster
Parabens                                                                                                                                                                         ,Marcos Valle                                    ,0.7621509824198552,0.802,0.8465814613152489,0.04618736383442266,0.014658634538152611,0.3512690355329949,0.09088145896656535,0.48324873096446697,0.5132062245899341,32
O Amor Em Paz                                                                                                                                                                    ,Cannonball Adderley                             ,0.7052740434332989,0.281,0.7737439274885071,0.03714596949891067,0.9769076305220884,0.8974619289340101,0.1165146909827761,0.4426395939086294,0.551927660171036,28
Once Again                                                                                                                                                                       ,Stan Getz                                       ,0.6442605997931748,0.331,0.7442535293925858,0.04052287581699346,0.8493975903614458,0.07928934010152285,0.07902735562310031,0.5918781725888325,0.42263189868685447,48
Mariana                                                                                                                                                                          ,Bïa                                             ,0.859358841778697,0.43,0.8442176648951778,0.11220043572984749,0.5060240963855422,0.0,0.23606889564336375,0.8284263959390862,0.6543810458432637,39
Mariana                                                                                                                                                                          ,Seu Jorge                                       ,0.6380558428128232,0.526,0.8047015095693,0.040958605664488015,0.5401606425702812,0.3949238578680203,0.10638297872340426,0.9451776649746193,0.7837095191364082,31
Carnaval Inesquecível Na Cidade Alta                                                                                                                                             ,Mundo Livre S/A                                 ,0.7714581178903827,0.557,0.8190799126210426,0.06633986928104575,0.052108433734939764,0.0019086294416243653,0.053698074974670724,0.7035532994923857,0.701738398990607,29
Garota De Ipanema                                                                                                                                                                ,Leila Pinheiro                                  ,0.7549120992761117,0.145,0.6731603143034136,0.05555555555555555,0.8785140562248996,1.4010152284263958e-05,0.13272543059777103,0.5685279187817259,0.6394971727650824,48
Corcovado - Remastered                                                                                                                                                           ,Cannonball Adderley                             ,0.797311271975181,0.278,0.6986893156401813,0.051307189542483665,0.7228915662650602,0.6710659898477157,0.2978723404255319,0.7532994923857868,0.5773260432730501,28
O Pato (The Duck) - Live At Carnegie Hall/1964                                                                                                                                   ,João Gilberto                                   ,0.642192347466391,0.18,0.5946333670242248,0.06742919389978214,0.8785140562248996,0.8395939086294415,0.707193515704154,0.8974619289340101,0.7940371045375952,28
August Day Song                                                                                                                                                                  ,Bebel Gilberto                                  ,0.7425025853154085,0.294,0.7606207818460435,0.041938997821350764,0.6044176706827309,0.007309644670050761,0.12664640324214793,0.24060913705583753,0.48142903874012805,7
Os Grilos                                                                                                                                                                        ,Marcos Valle                                    ,0.5925542916235781,0.805,0.7934694010628933,0.0812636165577342,0.3744979919678715,0.4964467005076142,0.0844984802431611,0.7045685279187817,0.46744707696621335,25
Saudade Fez Um Samba                                                                                                                                                             ,João Gilberto                                   ,0.7300930713547052,0.303,0.7388412506928369,0.05816993464052288,0.820281124497992,0.0,0.08855116514690983,0.8974619289340101,0.41032758540118697,39
